127.0.0.1 - - [30/May/2017:16:55:10 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [30/May/2017:16:55:17 +0800] "GET /gg_shop/aboutmap.html HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [30/May/2017:16:55:17 +0800] "GET /gg_shop/images/1.jpg HTTP/1.1" 200 33839
0:0:0:0:0:0:0:1 - - [30/May/2017:16:56:48 +0800] "GET /gg_shop/aboutmap.html HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [30/May/2017:16:56:50 +0800] "GET /gg_shop/images/404.jpg HTTP/1.1" 200 74469
0:0:0:0:0:0:0:1 - - [30/May/2017:17:12:01 +0800] "GET /gg_shop/table_test.html HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [30/May/2017:17:13:15 +0800] "GET /gg_shop/table_test.html HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [30/May/2017:17:26:32 +0800] "GET /gg_shop/table_test.html HTTP/1.1" 200 1748
0:0:0:0:0:0:0:1 - - [30/May/2017:17:27:19 +0800] "GET /gg_shop/table_test.html HTTP/1.1" 200 1748
