0:0:0:0:0:0:0:1 - - [26/May/2017:15:08:28 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [26/May/2017:15:08:28 +0800] "GET /gg_shop/img/welcome.jpg HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [26/May/2017:15:10:28 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [26/May/2017:15:10:28 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [26/May/2017:15:10:28 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/May/2017:15:10:28 +0800] "GET /gg_shop/images/1.jpg HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [26/May/2017:15:15:20 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [26/May/2017:15:15:20 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [26/May/2017:15:15:20 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/May/2017:15:15:20 +0800] "GET /gg_shop/images/logo1.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [26/May/2017:15:17:56 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [26/May/2017:15:17:56 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [26/May/2017:15:17:56 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [26/May/2017:15:17:56 +0800] "GET /gg_shop/images/logo1.png HTTP/1.1" 200 16660
0:0:0:0:0:0:0:1 - - [26/May/2017:15:20:17 +0800] "GET /gg_shop/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:15:20:17 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:15:20:17 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:15:20:17 +0800] "GET /gg_shop/images/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:15:23:18 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [26/May/2017:15:23:18 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:15:23:18 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:15:23:18 +0800] "GET /gg_shop/images/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:15:23:20 +0800] "GET /gg_shop/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:15:24:32 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [26/May/2017:15:24:32 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
